                                        CALPUFF        Version: 5.8            Level: 070623      
 **********************************************************************************************************************************

 CALPUFF test case run - 3 point sources                                         
 24-Hour Simulation using CALMET met. data                                       
 Gridded receptors on 17x17 20-km met grid                                       
 
                             -----------------------
                               Hourly Mass Balance
                                      (g)
                             -----------------------
 
                                        Advected                    Wet          Dry         Domain       Domain       Domain   
 Yr  Day Hr   Species      Emitted        Out      Transformed   Depletion    Depletion       Total       Surface       Aloft   
2002   2  8 PM10          4.44607E+04  2.95809E+03  0.00000E+00  0.00000E+00  9.36800E+02  3.35526E+05  3.33776E+05  1.74932E+03
2002   2  8 NH3           5.52094E+02  3.80316E+01  0.00000E+00  0.00000E+00  0.00000E+00  4.22227E+03  4.19987E+03  2.24029E+01
2002   2  9 SO2           3.02177E+05  1.20984E+04 -4.94676E+04  0.00000E+00  9.01145E+04  1.90031E+06  1.88637E+06  1.39426E+04
2002   2  9 SO4           0.00000E+00  7.30042E+02  7.42014E+04  0.00000E+00  1.20556E+02  1.14410E+05  1.13389E+05  1.02120E+03
2002   2  9 NOX           5.01904E+05  2.20224E+04 -6.17793E+05  0.00000E+00  1.43654E+04  3.15443E+06  3.13094E+06  2.34870E+04
2002   2  9 HNO3          0.00000E+00  8.09447E+02  1.35372E+05  0.00000E+00  1.49106E+04  3.74426E+05  3.70204E+05  4.22149E+03
2002   2  9 NO3           0.00000E+00  3.55018E+03  5.27995E+04  0.00000E+00  1.99343E+02  2.12402E+05  2.10282E+05  2.12019E+03
2002   2  9 PM10          4.44607E+04  2.50436E+03  0.00000E+00  0.00000E+00  1.01564E+03  3.76466E+05  3.73620E+05  2.84626E+03
2002   2  9 NH3           5.52094E+02  3.23280E+01  0.00000E+00  0.00000E+00  0.00000E+00  4.74204E+03  4.70507E+03  3.69791E+01
2002   2 10 SO2           3.02177E+05  1.54339E+04 -5.06562E+04  0.00000E+00  9.23430E+04  2.04405E+06  2.01818E+06  2.58724E+04
2002   2 10 SO4           0.00000E+00  1.54079E+03  7.59843E+04  0.00000E+00  1.93261E+02  1.88660E+05  1.85809E+05  2.85108E+03
2002   2 10 NOX           5.01904E+05  2.48883E+04 -5.91887E+05  0.00000E+00  1.62651E+04  3.02329E+06  2.98734E+06  3.59467E+04
2002   2 10 HNO3          0.00000E+00  2.67149E+03  1.79560E+05  0.00000E+00  1.98425E+04  5.31472E+05  5.20923E+05  1.05489E+04
2002   2 10 NO3           0.00000E+00  2.85619E+03  1.71946E+03  0.00000E+00  2.03293E+02  2.11062E+05  2.09284E+05  1.77851E+03
2002   2 10 PM10          4.44607E+04  3.26542E+03  0.00000E+00  0.00000E+00  1.13756E+03  4.16524E+05  4.11362E+05  5.16198E+03
2002   2 10 NH3           5.52094E+02  4.20313E+01  0.00000E+00  0.00000E+00  0.00000E+00  5.25211E+03  5.18536E+03  6.67510E+01
2002   2 11 SO2           3.02177E+05  1.58295E+04 -4.71436E+04  0.00000E+00  9.33930E+04  2.18986E+06  2.11507E+06  7.47924E+04
2002   2 11 SO4           0.00000E+00  1.90804E+03  7.07154E+04  0.00000E+00  2.56901E+02  2.57211E+05  2.46678E+05  1.05324E+04
2002   2 11 NOX           5.01904E+05  2.11068E+04 -5.65950E+05  0.00000E+00  1.72299E+04  2.92091E+06  2.82631E+06  9.45983E+04
2002   2 11 HNO3          0.00000E+00  3.12145E+03  2.49035E+05  0.00000E+00  2.64744E+04  7.50911E+05  7.15322E+05  3.55891E+04
2002   2 11 NO3           0.00000E+00  3.61665E+03 -7.40159E+04  0.00000E+00  1.25129E+02  1.33304E+05  1.28359E+05  4.94518E+03
2002   2 11 PM10          4.44607E+04  3.25200E+03  0.00000E+00  0.00000E+00  1.20957E+03  4.56523E+05  4.39742E+05  1.67816E+04
2002   2 11 NH3           5.52094E+02  4.21171E+01  0.00000E+00  0.00000E+00  0.00000E+00  5.76208E+03  5.55888E+03  2.03207E+02
2002   2 12 SO2           3.02177E+05  9.79247E+03 -5.13867E+04  0.00000E+00  9.21112E+04  2.33875E+06  2.19416E+06  1.44586E+05
2002   2 12 SO4           0.00000E+00  1.25254E+03  7.70799E+04  0.00000E+00  3.13478E+02  3.32724E+05  3.10025E+05  2.26999E+04
2002   2 12 NOX           5.01904E+05  1.29378E+04 -5.43178E+05  0.00000E+00  1.94868E+04  2.84721E+06  2.68370E+06  1.63506E+05
2002   2 12 HNO3          0.00000E+00  2.42045E+03  8.53735E+04  0.00000E+00  2.66617E+04  8.07202E+05  7.36660E+05  7.05420E+04
2002   2 12 NO3           0.00000E+00  1.42712E+03  8.08954E+04  0.00000E+00  1.97126E+02  2.12576E+05  2.03336E+05  9.24018E+03
2002   2 12 PM10          4.44607E+04  2.05880E+03  0.00000E+00  0.00000E+00  1.23277E+03  4.97692E+05  4.64124E+05  3.35682E+04
2002   2 12 NH3           5.52094E+02  2.64925E+01  0.00000E+00  0.00000E+00  0.00000E+00  6.28769E+03  5.89230E+03  3.95391E+02
2002   2 13 SO2           3.02177E+05  6.04199E+03 -4.89598E+04  0.00000E+00  9.13934E+04  2.49453E+06  2.30091E+06  1.93618E+05
2002   2 13 SO4           0.00000E+00  1.00713E+03  7.34398E+04  0.00000E+00  3.51331E+02  4.04806E+05  3.69768E+05  3.50380E+04
2002   2 13 NOX           5.01904E+05  7.18904E+03 -5.29727E+05  0.00000E+00  2.02653E+04  2.79193E+06  2.59791E+06  1.94025E+05
2002   2 13 HNO3          0.00000E+00  2.22978E+03  2.08342E+05  0.00000E+00  3.20252E+04  9.81290E+05  8.81536E+05  9.97533E+04
2002   2 13 NO3           0.00000E+00  9.19813E+02 -4.30679E+04  0.00000E+00  1.37453E+02  1.68451E+05  1.54001E+05  1.44496E+04
2002   2 13 PM10          4.44607E+04  1.38200E+03  0.00000E+00  0.00000E+00  1.23137E+03  5.39540E+05  4.94777E+05  4.47631E+04
2002   2 13 NH3           5.52094E+02  1.78721E+01  0.00000E+00  0.00000E+00  0.00000E+00  6.82192E+03  6.28018E+03  5.41733E+02
2002   2 14 SO2           3.02177E+05  1.69061E+04 -5.69767E+04  0.00000E+00  8.81972E+04  2.63463E+06  2.38261E+06  2.52018E+05
2002   2 14 SO4           0.00000E+00  3.04830E+03  8.54650E+04  0.00000E+00  3.89737E+02  4.86833E+05  4.30615E+05  5.62184E+04
2002   2 14 NOX           5.01904E+05  1.72140E+04 -5.24519E+05  0.00000E+00  1.87174E+04  2.73339E+06  2.51611E+06  2.17276E+05
2002   2 14 HNO3          0.00000E+00  6.81650E+03  9.13371E+04  0.00000E+00  3.16756E+04  1.03413E+06  9.03475E+05  1.30660E+05
2002   2 14 NO3           0.00000E+00  2.61005E+03  7.15846E+04  0.00000E+00  1.83958E+02  2.37241E+05  2.00812E+05  3.64288E+04
2002   2 14 PM10          4.44607E+04  3.75544E+03  0.00000E+00  0.00000E+00  1.22102E+03  5.79024E+05  5.19468E+05  5.95561E+04
2002   2 14 NH3           5.52094E+02  4.87814E+01  0.00000E+00  0.00000E+00  0.00000E+00  7.32523E+03  6.58562E+03  7.39610E+02
2002   2 15 SO2           3.02177E+05  1.38636E+04 -5.68175E+04  0.00000E+00  8.45300E+04  2.78160E+06  2.43942E+06  3.42175E+05
2002   2 15 SO4           0.00000E+00  2.36633E+03  8.52262E+04  0.00000E+00  4.20959E+02  5.69272E+05  4.83712E+05  8.55596E+04
2002   2 15 NOX           5.01904E+05  1.38562E+04 -5.29920E+05  0.00000E+00  1.72521E+04  2.67426E+06  2.40510E+06  2.69165E+05
2002   2 15 HNO3          0.00000E+00  5.62132E+03  2.17036E+05  0.00000E+00  3.43523E+04  1.21120E+06  1.02295E+06  1.88250E+05
